Ranking, School Name, State, School Sector, Location, Total Enrolment, Combined Score As Percentage of Number One School In Australia Regardless of School Sector, ,
,,,,,,,,
1, Presbyterian Ladies' College, VIC, Independent, Major Cities,1412,87.59%, ,
,,,,,,,,
,,,,,,,,
2, Fintona Girls' School, VIC, Independent, Major Cities,456,87.56%, ,
,,,,,,,,
,,,,,,,,
3, Ballarat Clarendon College, VIC, Independent, Inner Regional,1326,87.19%, ,
,,,,,,,,
,,,,,,,,
4, Haileybury College, VIC, Independent, Major Cities,3754,87.11%, ,
,,,,,,,,
,,,,,,,,
5, Korowa Anglican Girls' School, VIC, Independent, Major Cities,620,86.53%, ,
,,,,,,,,
,,,,,,,,
6, St Andrews Christian College, VIC, Independent, Major Cities,581,85.86%, ,
,,,,,,,,
,,,,,,,,
7, Ruyton Girls' School, VIC, Independent, Major Cities,839,85.48%, ,
,,,,,,,,
,,,,,,,,
8, Lauriston Girls' School, VIC, Independent, Major Cities,897,85.37%, ,
,,,,,,,,
,,,,,,,,
9, Camberwell Girls Grammar School, VIC, Independent, Major Cities,712,85.36%, ,
,,,,,,,,
,,,,,,,,
10, Camberwell Grammar School, VIC, Independent, Major Cities,1301,85.13%, ,
,,,,,,,,
,,,,,,,,
11, Huntingtower School, VIC, Independent, Major Cities,686,85.13%, ,
,,,,,,,,
,,,,,,,,
12, Sacre Coeur, VIC, Catholic, Major Cities,720,84.74%, ,
,,,,,,,,
,,,,,,,,
13, Scotch College, VIC, Independent, Major Cities,1883,84.72%, ,
,,,,,,,,
,,,,,,,,
14, St Leonard's College, VIC, Independent, Major Cities,1426,84.70%, ,
,,,,,,,,
,,,,,,,,
15, Penleigh &amp; Essendon Grammar School, VIC, Independent, Major Cities,2446,84.67%, ,
,,,,,,,,
,,,,,,,,
16, Mentone Girls' Grammar School, VIC, Independent, Major Cities,739,84.67%, ,
,,,,,,,,
,,,,,,,,
17, Shelford Girls' Grammar, VIC, Independent, Major Cities,504,84.66%, ,
,,,,,,,,
,,,,,,,,
