name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
Academy of Mary Immaculate,Fitzroy,33,7,152,29,NA,96,100,13,84,NA,31,7.1,144,-8,1,3,12,NA,2,4,4,-15,NA,0,-5.3,-28
Adass Israel School,Elsternwick,9,10,79,102,49,NA,NA,NA,68,85,NA,NA,534,-3,0,-23,-62,-14,NA,NA,NA,25,15,NA,NA,-1
Advance College of Education,Rosebud West,7,18,8,37,57,NA,NA,NA,70,48,NA,NA,535,2,10,-8,2,-13,NA,NA,NA,-21,-24,NA,NA,-1
Aitken College,Greenvale,39,20,155,104,17,89,100,7,83,100,30,4.8,194,-13,-3,-10,-31,-5,-6,0,1,-8,0,1,-1.3,32
Al Siraat College,Epping,15,4,85,57,NA,100,100,1,97,NA,28,5.4,280,3,2,51,9,NA,0,0,NA,-2,NA,3,3.2,172
Albert Park College,Albert Park,56,18,266,34,NA,86,100,5,82,NA,31,8.6,131,6,-1,18,-5,NA,-6,1,-5,-2,NA,-1,-3.9,-42
Albury Wodonga Comm College,Wodonga,5,18,11,229,167,NA,NA,NA,78,47,NA,NA,536,-2,-3,-18,61,-9,NA,NA,NA,40,14,NA,NA,-1
Alexandra Secondary College,Alexandra,23,9,53,77,25,75,96,NA,85,88,24,4.2,481,1,3,5,3,4,0,-4,NA,-6,20,0,1.8,2
Alia College,Hawthorn East,28,3,29,Less than 4,NA,39,89,NA,ID,NA,24,0,500,-1,0,-2,NA,NA,-29,-11,NA,NA,NA,0,0,-3
Alice Miller School,Macedon,16,1,26,Less than 4,NA,60,100,1,ID,NA,31,9.6,127,-2,-1,4,NA,NA,-11,0,NA,NA,NA,2,5.3,126
Alkira Secondary College,Cranbourne North,62,34,209,135,79,69,98,1,75,90,28,1.8,328,5,-4,-6,-18,1,3,6,-1,-11,8,1,-0.9,40
Alphington Grammar School,Alphington,27,1,100,Less than 4,NA,100,100,5,ID,NA,32,12.1,86,6,NA,6,NA,NA,4,1,-2,NA,NA,0,-1,-1
Al-Taqwa College,Truganina,28,11,187,102,34,90,100,NA,91,95,26,3.8,400,1,0,10,56,-4,-3,0,NA,-2,1,-1,0.8,-37
