,name,locality,rank,median_vce_study_score,percentage_study_scores40and_more,school_sector,location
1,Albert Park College,Albert Park,131,31,8.6,Government,Major Cities
2,Apollo Bay P-12 College,Apollo Bay,18,36,21.4,Government,Inner Regional
3,Ashwood High School,Ashwood,241,29,3.9,Government,Major Cities
4,Auburn High School,Hawthorn East,167,30,8.6,Government,Major Cities
5,Balwyn High School,Balwyn North,44,34,19.3,Government,Major Cities
6,Belmont High School,Belmont,343,27,5.3,Government,Major Cities
7,Bentleigh Secondary College,Bentleigh East,230,29,4.8,Government,Major Cities
8,Blackburn High School,Blackburn,216,29,6.5,Government,Major Cities
9,Boort District P-12 School,Boort,208,30,3.1,Government,Outer Regional
10,Box Hill High School,Box Hill,56,34,16.1,Government,Major Cities
11,Braybrook College,Braybrook,139,31,7.3,Government,Major Cities
12,Brentwood Secondary College,Glen Waverley,168,30,8.3,Government,Major Cities
13,Bright P-12 College,Bright,203,30,4,Government,Outer Regional
14,Brighton Secondary College,Brighton East,213,29,6.7,Government,Major Cities
15,Brunswick Secondary College,Brunswick,211,29,7.5,Government,Major Cities
16,Buckley Park College,Essendon,123,31,10,Government,Major Cities
17,Camberwell High School,Canterbury,112,32,8,Government,Major Cities
18,Canterbury Girls Sec College,Canterbury,91,32,11.2,Government,Major Cities
19,Casterton Secondary College,Casterton,89,32,11.5,Government,Outer Regional
20,Castlemaine Secondary College,Castlemaine,295,28,4.1,Government,Inner Regional
21,Charlton College,Charlton,132,31,8.6,Government,Outer Regional
22,Cheltenham Secondary College,Cheltenham,285,28,4.6,Government,Major Cities
23,Collingwood College,Collingwood,359,27,3,Government,Major Cities
24,Corryong College,Corryong,320,28,2.5,Government,Outer Regional
25,Diamond Valley College,Diamond Creek,358,27,3.2,Government,Major Cities
26,Donald High School,Donald,303,28,3.8,Government,Outer Regional
27,Doncaster Secondary College,Doncaster,225,29,5.3,Government,Major Cities
28,East Loddon P-12 College,Dingee,160,31,1.9,Government,Inner Regional
29,Eltham High School,Eltham,279,28,5.5,Government,Major Cities
30,Elwood College,Elwood,175,30,7.4,Government,Major Cities
31,Fitzroy High School,Fitzroy North,248,29,3.5,Government,Major Cities
32,Footscray City College,Footscray,166,30,9.1,Government,Major Cities
33,Frankston High School,Frankston,87,32,11.8,Government,Major Cities
34,Gisborne Secondary College,Gisborne,370,27,2.4,Government,Inner Regional
35,Glen Eira College,Caulfield East,215,29,6.6,Government,Major Cities
36,Glen Waverley Sec College,Glen Waverley,66,33,15,Government,Major Cities
37,Highvale Secondary College,Glen Waverley,138,31,7.8,Government,Major Cities
38,Horsham College,Horsham,181,30,5.7,Government,Outer Regional
39,Kambrya College,Berwick,253,29,3.1,Government,Major Cities
40,Kew High School,Kew East,124,31,10,Government,Major Cities
41,Koonung Secondary College,Mont Albert North,94,32,10.8,Government,Major Cities
42,Kyneton Secondary College,Kyneton,428,26,1.3,Government,Inner Regional
43,Leongatha Secondary College,Leongatha,462,25,1.6,Government,Inner Regional
44,Mallacoota P-12 College,Mallacoota,163,30,12.5,Government,Remote
45,Matthew Flinders Girls' SC,Geelong,293,28,4.2,Government,Major Cities
46,Melbourne Girls' College,Richmond,61,33,18.2,Government,Major Cities
